TestEvent,ID,"10 Minute - Write atleast a paragraph about people that you live with now or that you lived with in the past. This could be your family or roommates. What do they look like?  Describe their interests, jobs, schedules, and personalities.  What do you or did you like about living with these people?  You have 10 minutes to write your response.",30_minute - Identify one improvement that would make your city a better place to live for people your age and explain why people your age would benefit from this change.  Use specific reasons and examples to support your opinion and describe the potential immediate and long-term consequences of this improvement.  You have 30 minutes to write your response.,Scored
W17 LATs,24566,"When I come here in U.S.A I started to live with incredible person in a small apartmanet close to the ELC. Her name is  Ali, she was really amazing with me, since I arrieved here. She is really beautiful and kind person.
      Ali is  studying at BYU. This is her seconde semester there. Also, she works at the gym and do a lot of activities at the church. She really like to spend time with her friends and family. She is in the nursing program at BYU. Furher, Ali is as tall as me and that is amazing. We liked to do many things together in our free time after classes. Also, after the meeting at the church, we liked to go to the Canyon and talk about our past.
    She was an amazing person in my life. When I see here waloking on the street, I go directly to her and a bring a huge hug because she was my first good friend here in U.S.A. I would like to live with her one more time and share my valuable time with her because she is awesome.","Venezuela is a powerful country, but during these days there are a lot of problems in the population. For example, the education is one of them that is going down every year. There is lack of  teachers and professors. Also, the quality of subjects that professors and teachers used are not effective, and their classes, so I would like to created a program where students could use and it can help them to imporve their skills.
         For this reason, I would like to invent an effective program about how students could improve their skills in math. Also, I will bring to professors and teachers effective resources and methods that they could use and their classes because if they use specific and effective methods and resoruces, it is going to improve the life of 
        Fisrtly, I would like to invent programs for their computers where they can have access in any time. For instance, during their breaks, they can log in in this programs that contains differents activities where they could work on them. For example, when you beging high school, it is important take math class because it is  going to be in the rest of your life and you are going to use it, so if I created a program where they can play with math exercises, that will be helpful for them. They are going to see that math is not really boring.",3.04
W17 LATs,62786,"Living with roommates is a lot of fun, specially if people have the same roommates as I have. I am so grateful to have them around me living and spending time togethers. I live with other 5 people and all of them ae studying at BYU and working there. Their names are, Sarah from Iowa, Ivana from Ecuador, Laura from Missouri, Christine from Idaho and McKenna from Utah. All six of us are returned missionaries which is awesome because we read the scriptures together once a week and we have other persepctive and vision of the gospel. Eeven though they are so busy because their work and their classes and other activities like dating, we always find a time in the day to talk and to tell new news that have happened through the day. They are amazing and I am so happy to have them in my apartment and share almost everything with them. When I arrive home after a tough and tired day and I just want to sleep forever, there aren't better way to finish the day that lauhging with your roommates and smiling because they are in your life.","It is a fact that young people want and enjoy hanging out and doing activities. Do they have a specicifc place or spot to do it and congregate? What am I saying with that? Youth like to socialize and spend time doing fun activities but sometimes they do not know what to do or where to go. That is why I think that creating a huge building just for the youth entertainment is a great way to maintain them together in a good and healthy enviroment where people can hang out there. I am going to explain a little bit more about this building that I already mentioned. This building  has to be created just for the youth , having different areas. For example, a bowling area, a chillin area with coutches and a huge TV to whatch movies or to make a cinema night with pop corns or just talk, a gym area or even a kitcken where youth can cook together. They key of it is that people can meet their friends there and know more people in such a good enviroment as they can find in this building.  Parents also can go there and see what their 'children' are doing so that they can be sure they are safe, altough this building us just exclusive for the youth. I think this type of idea will increase a healthy, positive and safety enviroment  for them because they can use any time they want and also can make reservations for a huge group of people. This will decreased bad and dangerous situations such a going or descovering new places with  a unsafe enviroment like a clubs or other areas that aren't created for young people. Another consequence is that young people will know and will feel that the goverment of the city is considering them in consideration. When they make the announment of having a new building just for them and showing the plan and pictures of it, the youth and without doubt the parents, will be excited and happy for having this new oportunity in their city.  So, this is something that also help the goverment or politic group or organization of teh city to have more votes or just with the knowledge that they are making happy the citizens. Taking care of the youth is the same that taking care of the future. All this consequences and more, are both potencial immediate consequences and long term consequences of this improvement.",3.04
W17 LATs,32472,"When I was arrived first time I met my roommates. I have a 4 roommates acpet me.
The girls are very kind and funny. 3 girls are from native speakers and one girl is from bolivia and ELC student. My roommate is cute girl. She really like watching movies and listening music. Sometimes we watched the movie together. The other room mate is very kind. When I was arrived the frist time, is before the christmas. My roommate invited me her house. I'm very appereciated about this.   
One of my room mate is really quite but sometimes we talk each other and I like her. 
The last room mate is from bolivia girl. She is really cute and funny girl. One day she made a bread at home and ate together. I'm really loved it. She is really good cooker.
I like my roommates. Sometimes we get together and watch the movie and ate dinner. I'm very happy to meet my roommates.","Many young generation choose to live city. Also I'm prefer the live city is better than country. Some people argued live country is much better. The other people said live city is best. In this essay I'm going to write why live city is better than country and reasons.
 First. in the city have a good transportaion system. They have a subway and buses even if they have a tram on the way. For example, the Provo have a only few buses and they don't has any subway or trams. Howeber in the Saltlake city has a bus and tram. They has more transportation system than Prove.
 
Second, The city have a lot of things. They have a lot of stores and department stores. Also, they have a big hospitar in the city. They has a lot of place to good to play. In the other hand country has only few things.
In the country is quiet and they has few stores and small hospitar. Many of young generation feel boring because they don't have any good place to play.
Finally, almost young people like more energitic than quiet place. They wants exciting and something fun every day. The country is also good to live but it feel boring and repeat every same day. It means really safe place than city but young people choose more exciting place.
In conclusion, Many young people especially my generation likes to live city. The city has a lot of things for instance good school and many shops, amusement park and large hospitals. Also city has a comportabe transportation system. In my opinion, many young generaltion is going to live city and enjoy the life.",3.04
F15 LATs,55078,"i have lived with tow different people my rommates and my family. evry one of  them has different characteristic but my momon is the person that i have share most of my memories and  i have learned alot of things from she. my momn she is like to work every moment and she is like a super mon because she is a dentis and she take care of me and my brothers. my momon work five time per week, even she is bussi she take care of every one of my family nd she is happ, she say that she like to do it because she love as andthat is not a work for her, my momon is the best person that i have lived.","People around the world spend  alot of money  and time study. What is the reason that they do it , why                      Education is a important factor for every one. Education is important because it bring alot of oportunities in a immedite and log-term.When people are well educate they have better opportunity looking for a jobs, furute in their families, and better stily of life. That is why I belivethat education is great factor for my city.
 
Education help to the economy in every one because when the people have a jobs they have money and when they have money they can spend money in their  necessities . Educatio help in a log- term and immedite.
Education bribg abetter stily of life. People well educate have more opotunities to sucess and mede good desition in their lif, because they know what are their consecuenses of that. for instance, some people in my city do not how to chooose a president and what they do is choose the pressident who  is popular but they do not choose the president with a better education.If were well educate our city wil have more opportunities.
 Thas is the reason that I believe that educations is a important factor for my countr.Education is the only way for to be succesful, Education bring jobs, better stily of life, better economic,and more oportunities in our future.",3.04
W17 LATs,62200,"In the world, Always have a lot of people in your life, someone just bring you work, someone will bing you maybe many years. Have a one person is very inportant in my life. She is my friend, also is  my roommate and classmate in my collage life. She is gentle and responsible  woman. We can talk anything, no matter my family life, my pets, my boyfriedn and my job. When I was sad and angry, she always can give me a lot of advice. I love her, she is very awesome person. I will keep in touch with her forever.","A city will devolpe and improve, most time beacuse people need benefit and have request. A great city can help people life quality get high, and happiness. I have three reasons to explain how can make city better. First, in the city, public vehicle is very important , include train, bus and subway. These can help people go to they want to go place, and don't need a lot of money  and long time. Second, a whole city should be have some parks. Parks  have  many useful reasons, park can help people relax. old people are use to go to park walking and talking with other people. They can though park make new friends, this activity can help them health and safely. Finally, high devolpe city should be have a lot of company in there. Because company can provide people have job . People have a job, they will stay in the city. They don't cause have to go to work and spend many time driving to other city.  Thus, these reasons can help goverment to improve the city, people will feel happiness, and all age people have benifit.",3.05
S17 Placement,91060,"I am living with my siter's family. she has three child, they are 8 years old, 6 years old, and 3 years old.
My sister love to do excercise, she does every day. And they child love to play with cars and to watch Disney pictures.
She only work 10 hours for week in a military building, she is working in te operative sistem. And the sons gone to the school.
My sister is a very good person, she all time is thinking me nd help me. Their childs are a litle crazy but they are so obidient with me and she.I am so happy living with them, because they are very friendly, they help each other and I can feel the love. Their are my family, I like to be with them fot that.","I live in Santiago, Chile. I think is the better place to live for people of my age because is a place with many diferent people; I can see that between 18 years old to 20 years old is a moment with lot of changes, we are finding identify in a society, we want independence, and we have so much energy. 
Santiago, Chile is a place that ofer friendly people how friends, oportunities in education (good education) and many activities for to use the energy.
For example, when I was 18 years old I was living in Buenos Aires, Argentina (is a country next to Chile) and I saw the life of young people; many of them use their energy in sport or drugs (no many persons finish the studies) and when I came back to my country I felt bless for the oportunities.
 
The beggining you have to acustomer with our words and speak form, because is very differen to other latin-countries, but with time you will feel like one more, without diferences.",3.06
S17 Placement,28810,"I live with my husband and our little sweet boy. My husband's name is Gosha, he is 27 years old. Gosha is a very pationt person and very gentle. He likes all kinds of tehnologies. He is very good in computers. he helps a lot of people with that.  Also. he reads a lot. It is very easy to find a topic to talk about with him. 
Our son's name is Mark, he is 18 months. He started to walk recently so he is very active right now, he doesn't want to be in one place. He really likes to dance and listen when I'm singing for him. 
I like to spend time with my family, we have a lot of fun together. Mark takes all our attantion but we like to be parents. we learn a lot every day.","There is a good education system in my city but students can not study and work in the same time. Some people can be able to pay for their education but some do not have this opportunity. The problem is that there are no places of part-time work for students. If only the goverment will provide a way for that. That way sudents can work and safe money for the study. For example, I left univesity because I could not study and work full time in the same time, I needed to chose only one. My parents were not able to help me with finances. If I was be able to find a job for 3-4 hours a day then it would be possible for me to stay and finish my school.  
It will be a great value for young people who wants to get a good education.  Other way they will have possitions that will not give them chances to grow, they will not be happy in life. So how can we grow a good generation then if they do not have ways to develop themselves?!",3.06
S17 Placement,45492,"I'm living with my wife and our three children. My wife is q so wonderful people.She is always smilling. She loves take a good care of our childs and spend times with them. She loves our Saviour, Jesus Christ and going to the church every sunday. She is a banker in France. Our children are Isaac, Agathe and Elie. Isaac is the older, he is seven years old. He is in CE1 in french school. He is very energic, he likes playing all kind of sport. When he will be an adult he Would like to be an hunter or a policeman. Agathe is the second one, she is three years old, almost four. She loves princess and all the shining things. She looks like her mother was when she had the same age, with blond hairs and big green eyes. Elie, the last one for the moment is  two years old. He can only speak a little.","I live in a very little town in the countryside of Brive la Gaillarde in France. We are almost four hundreds fifty people living in.
I think that one improvement that would make my city a better place to live for people my age is a soccer stadium. Soccer is the most popular sport in France, there is lot of interest for this sport and lots of people play this game or watch it at TV. Because of this stadium people can meet together and spend some times to play and have a great moment. It's important having this kind of place where people can meet them. Thanks to that people can know them each other. For the life of my little town this stadium can create a link between all the people of the town. We can create a team for each age of population and create a tournament witch will take place every years. It will be a party for all people of the town and all the others in the countryside around. This stadium can be an attractive thing for new people who are looking for somewhere to live in. It is very difficult for little town like mine to attract new people but it is very important to keep a school in the town, to keep bakery, and proximity services. 
I think that a soccer stadium is the immediate best solution for increase the way of life of my age people and the best for long-term consequences to help my town growing up again and make it attractive.",3.06
S17 Placement,11080,"I would like to talk about my mission trainnner, he was an amazing elder we worked a lot in our area, he was learning to talk Spanish and I remember that he was my first English teacher that I had, he was very kind and a lovely guy, he is taller than me I think he is almost 2 meters, and he is very funny all the time he is making or saying something funny, he wasn't the best roomate because he never cleaned the room, he all the time was studying or in the kitchen, he was my first example in the mission field, I remember that I had a great admiration for him because he was very humble and he had a great heart, he never thinks in himself, he always was thinking about how he can help other people , before going to the mission he was working in a company called IBM as an programator,  he told me that that job was the best job in earth because he really likes to do that and because he had many hours off to do other things,  when I received the news that my trainner was leaving  the house I was very sad.","Well I am going to talk about my city Bogota, this city is a good palce to live,  but it has many challenges especially for young people, the best improvement that could make my city is to offer more opportunities to study, in that place  you spend the entire day working hard, and if you don't have money, or if you don't have a sponsor you will not  be able to study,  so I think in that city we have great people, most of them are smart people, but now they are getting bad jobs because their education, if the universities  would take more care about this population, they will be able to open an online program or even thought an online carrer,  that is the easy way to affer the opportunity to study to this people that have to work because they are supporting their families,  some people that are studying online with universities from other countries say that it is more harder to study online, but the young population don't really care about that, because, as I said before they are  good people they are smart people but because of the condition they cannot study,  they have desires, they have the dream, and the most important they have the passion,  so if the goverment and the universities work hand in hand in a few years we will see how increase the professional population, we will see, how worldwide companies see our city as an great estrategic point to stablish their companies, this is the best way to offer a better place to our young population, but what happen is that in that city the government work against the people, they don't really care about the poor population, and the taxes in that city is crazy,  so I ask to myself how can we build a great country without creating opportunities to growth and development ? I think our city is a blessed city, we have everything we have a great potential to create powerful industries and solid businesses, as I always say, we are a rich country living in poourness,  all of this conflicts is about a bad administration of our GPO, and a bad administration of all the resources that we have, the best way to improve our nation and create a better place to live is investing in the poor population,  if we do that we will stablish a solid economy and a strong country, but we need to work together, we need the help of the government, and the universities, because for today just the rich people have access to an education, and the education is the key of the development, our goal should be put the education at reach of all the people,  we need to create  financials systems to be completelly surre that all the people that want to study  will be able to attend to the university,  if you get a debt for studies, that is a wise debt,  otherwise that is not a good idea to get a debt, but if you are poor and you go the the bank anyone will give you the oportunity to have the required amount to asists to the university,  this is a great problem that we have today and is a problem that have an easy solution, this is more about think about the people.",3.06
W17 LATs,29188,"I am from Peru and I live in the capital called Lima. But I decided to come to Utah to study English for that I needed to find a new place to live. When I was in Peru, I lived with my mother, father and brother.  It was common to have a pet at home. And I had different kind of pets , and I consider them part of my family. My last pet called Pinina was the most important for me because it still lives with us as ten years, so I really liked to spend time with it. My house is not big  because my parents work in the Army , they  are working almost whole day so for that they tried to find an apartment. And It was a good decision for me because, it sometimes  hard to clean a big house or to keep cleaned for several days. But with this short explanation about my house you can realize how my parents are . I have an uncommon family . My mother leads home and all of us . She has a strong personality and she administrate the economy . I am here studying for her help and that is incredible.","During all the semester was really difficult for me to understand the purpose to think about the differences and comparison between different countries. I remember my listening class and specially an assigment that permit me to think about how we can be better people. The example that my teacher gave me was about a man  who tried to get to  Antartic and  the difficulties that he and his people experienced. But watching this documental, it is important to catch the main point of the story. And it is not the traveling , the main point is the man  who was the best example. When I saw this video , I was watching the news. A really big disaster was happening in  my country and all the people there did not know how to do for being saved. The situation became more harder and we were waiting for our president words to tell us what the people needed to act . In that moment I compare this man with my president . And I understood that my president had to change his mind and tried to be a good leader to transmit safety for his country and his people. I realized that my president follows different principal points from this man , my city specially in that bad situation will be a better place to live . There are three important points that my president need to cahenge from this man. The first one is to think and take care for his people before him. That is going to permit to understand different people situations and their problems.  Sometimes we do not take time to think about people who are close of us. People are going to trust more in my president if they percibe that he is trying to understand their problems. The second point is after they understand their problems , they are going to distribute the same jobs or duties . This man did in that way  and that worked . In my country , it is not hard to realize the difference between rich and poor people. It is not bad to have the difference  but sometimes people do not use this difference to do good things. We can see bad things  and procedure for the goverment for this problem . They think that can solve all their problems just paying . But they can do it , it is the sad face of my country. And that began from my president . He does not try to stop this unfair situation. He needs to change that part because if the people realize that he wants the same things for all of them and he uses the justice to get benefits in the same level, they are going to do their best to believe in him. The last point is to work together. This man never left the duties for his people and he worked with them. Thar was an important point to be a good example. My president needs to show to his country that he",3.07
W17 LATs,07656,"I live with my family in Mexico, I live with one of my sisters and my mother, my mother and my sister are very friendly and very funny. I really love to leave with my family because I can speak of all things. with my family the house is very beautiful because  my mom always cook in the house in the kitchen, my moom cooks very delicious and I really like her food. My mom work in the house and sometimes with my father. My sister works in the school of my nice, she is very worker. my mom and my sister are very clean and very friendly.  They work a lot because the house needs more things like food and other things.
My house is a little big because my family visit us all the vacations and my mother likes to receive to my family in the house,  when the family is in my house all the time is very fun because we play, watch tv and other things. 
In my house the respect is the more important because that for the best people. I really love to live with my family in my house because when I live with other people for example with my roommates is not the same because the things are very different, I can not to speak of many things, with my roommates is very difficult live un the same house, one of my roommates is not clean and I do not like that because I am very clean. 
To live alone or with my family is the best.  to live with roomates sometimes is a litttle bad because I miss my things of my house","My country in general is not bad, it has things bad but not all the things are very bad. In specific my city is Apan and is a very little country, is very quiet and the people are very friendly. I think than the security in Mexico is not the best, is one of the things than should to be more big., in Apan the security is not very dangerous but the police man are not very preparate because the education is not the best.
The people need to have more education because the things than they are now, are the things than they give to the next generation. For example the contamination is one of the biggest problems in my country and the crime, the people needs do not traughht the trash because that affect the environment, the security  needs to change, I think than is the best have more security in the streets and all the stores in the city.
The people should to thing different because for the city will have the best  future for the next generation.  When the crime and the contamination will are to change,  the people will think than Mexico is the best place for live.
My city in especific needs more work because many people in Apan needs more work for have more money because the things are very expensive, that is the mistake in  my city. In Apan the big work is the agriculture, but this city does not have more work for the people, when Apan haves more work, I will say 'Apan is the best plece for the next generations'
My dad all the time say 'the work is the more important' and I am agree and sometimes I am degree because when the people work, they are the place more beautiful with more oportunities  but sometimes when the people works a lot it is a obsession for many people like my dad.
In the future when the next generations live in Apan will thing like me, because we need to work because all the people want to see than Apan haves more oportunityies for the people. 
In general my countr has many oportunities for the people but sometimes the people are not agree with many things and they see than do not have work in Mexico.
The people in specific the old people needs to teach to the children to be the best. First need to change the education in Mexico, the old people need to put more effort and more dedication in the children because many childrens follow the examples of the adults.
Now, Mexico is not the best place for live but if the people change your form of think, if the people put more dedication in the education of the children and adults, the place will shange a lot. 
I really love my county but ti is true than the education is not the best in the place. 
The economic in my country is a little bad for the same of the work, many people live with for the money of the tourist because Mexico is very visit because have many colorfull, beautiful and big places.
 The handicrafts are one of the most important people in Mexico because they have many things thann represent our country",3.07
F15 LATs,22107,"My mother is a amazing woman. My mon grow up in a farm around 60 years ago. When she was a girls, she cant go to school, because the school was far way her farm house. But, when my mother torns a adult, she moves to a big city, and she frequented a school. She studied hard, bud didn't finish her studys, because she married and had two babies. When her babies (my brother and I) grow up, she come back to school. She finished her studies with excelence. She win a math and cienci competitions. Finally, she went to niversity","Qualitly and suficiently Public Transportations is very important to Cuiaba. First, when big citys like Cuiaba has good, cheep, confortable, fast and different kinds of public transportations, many people can to choose this option for to move. Also, when people use the coletive trasportation, like subway, buses and urban trains,  less cars stayed on street, and the traffic can to go easy. Another reason for to create new public transportation in Cuiaba is the improve for enviroument.  In long-term, the result for less cars on the street is less polution in air, less noisy polution and less stress. Finally, when a city has public transportation with good price, most people can use for to do activities. For exemplo, many people can to go to a good schools far way their houses, theathers, sports schools, music school, etc. For this reasons,  for improvement in Cuiaba, is very necessary the implement good Public Tranportation.",3.07
S17 Placement,10416,"At this moment I am living in Rexburg, Idaho, with my aun Adelaida. She is a very sweet woman with a lot of confidence. She have been helping me to get that confidence to learned Englih. She has 58 year old, has a black and short hair with a brown skin, in conclution shes is brunett. Right now my aut is working at Walmart as a woman deparment mannager, but in my country she was an accounter in a great company there. This new job is helping her toimppove her capabilities and her English. I am learning to much from her because she is a positive person, she is so kind with other and lover to serve others too. My aunt just has one daughter, maybe that is the reason which she is so good with me. I am so proud of her, she is my example.","One of these improves would be to invest in arts as thatre, music, paints. This is a great way to teach teenagers or people my age about our local culture and through the world. Also they should give more oportunities to the new talent to preset their plays at the important theatres in the city, provide the oportunity to have more concerts too.  This would give to the society the oportunity to increase their creativity, spend time with their familys,   and also it give the oportunity to the new talent to get experience. Arts should be concidered in all ages, because it is a manner to be ourself, to feel, to hear and see how we really are.  It does not matter what profession have a person or want to study in the future, arts helps us to be in armony with our minds and motivated.
In another way, to have the oportunity to visit so many different places around the city where anjoy the differents kind of arts would helpe us to be away of alcohol, pornografy, drugs.",3.07
W16 Placement,80087,"Well in Argentina I lived with my mom and my twin brother. My mom, Maria, works all day, she cares a girl with proble to move and to speak, so thsis girl is a special person.My mom loves listen music and pass time with my nephew, she loves plays with kids. My twin brother, Juan, he works with secury, he installs camaras and alarms, and in the weekend he is a DJ, so he works a lot with the tecnology and music. He has a little son, Dylan, he is 5 years old, he is so cute and he likes to learn new things,to ride his bike, and to play soccer. And evry sunday we read together the book of mormon for kids.
Currently I live in provo in a condominium with my roommate, she is so cool, her name is Megan, she is 34 years old, and she works teaching in elemtary school, she love past time with her family, she has 6 brothers and sisters, and a lot nepehew and nieces,so she has a huge family, she likes to cook and read in her free time.","In my city in Neuquen, one things I think would make better is sports for youth, I saw the youth pass a lot time just doing nothing, they have a lot time free, and they start to have bad friends and to do bad things, and this make my city more insecurity, so I think if they use their time with sports and focus in good things every thing will better in my city, especially the security.
So in my city we need more sports centers for the youth, because is so hard to find a place to do sports. We need more teachers can to work with the youth and to want help them, because a lot of the youth do not receive love from their families, and this is so bad for them, because they look the things they do not received in their home in the street, and the sad thing is bad people help them. 
I think the sport is a good idea to better the city, because sports teachs responsability, hard work, and help to meet new people, and have a better health and be more happy, when the people have problems can relax doing sports, and think better with calm and to find a solution for their problems, and share with others about their life, their hobbies and their goals.
I know the best thing for youth is to do good activities, and there are a lot of sports the youth can to choose and enjoy. The sports can help the youth to know more about them, and they can have new experiences in competition, and why not be proffesionals in the future.
When I was more young the sports help me a lot to lost my fair, to have more confidence in me, and to have goals, and to be more focus in my study. The sports help me don't have stress and have a better health, to meet new people, to have more friends, and especially I'm not alone in this world, because the majority of the youth have the same problems in their life, and they think that they are alone, and nobody can understand them. But when they start to do some sports and to use better their time, and I can to obtain a new perspective of the life I think they can to change, and be better youth, and to help others with the same condition.
So if we can to work together and help the youth now, the future in the city will be better than now, because the youth are the future in my city, in my state, in my country, in the world.",3.08
F15 LATs,67895,"Actually I live with roommates. I love this expirences because is the first time that I live with roommates. My roommate name is Amy and she is amazing. we are very differents  because she study history carrer, than I studied business administration. but we are similar in the personalities she is really funny and fiendly, and I considereted that I am very funny too. The real reasson that prefer amy, is because she is very clean and organized and it is really comfortable when you live with other person in the same room. Finally she always call me and interesting for me and my life.","A lot of people prefer bogota how is right now, but I think that Bogota will better if change the age for drink alcohol for two reasons. Actually the bars and stores sell alcohol to +18, and this is incorrect because the colombian people need that the age will +21. First the teens don't are conscious of dangerous that drink a lot of alcohol at night , second when they are intoxicated don't control them acts. i think that this reason are very important for the society and need reconsideration.
The young don't think that city like bogota has a lot of thief and they don't can defend if to be intoxicated. also, into the bar the people asks more money and take advantage of this condition. When the people is more oldest know the dangerous and nothing bentured both.
The most worrying is when the teen to be intoxicated don't control the acts and words. for example is normally the young people in bogota, fighter and kill to other people when was drinking, and It is really bad for all problems that has a people after the fight. I think that is no just with the families.
In conclusion Bogota need change the rules for a youngs for have a better city and improve the medios for law enforcement. as soon as the law change the streets in bogota will more security for the youngs and they will more control that them acts.I would like see the new law in Bogota.",3.08
W16 Placement,90088,"When I was in Barranquilla I lived with my parents, Julia and Ramon, and one of my sisters, Jenny. My mother enjoy to be eat lunch with all the family gathered. Probably, her main insterest is to help his children to progress and have a happy life. There is no time when she is not talking with some of us or cooking good food for us. My father has his own company. He is almost all day long working far away from home. However, every night he uses to find a time to talk with me and read the scriptures with my mon and I. My sister Jenny lived with us, but she did not used to spend much time with us. Most of the time she was texting her friends","I consider that Barranquilla needs more parks and along with it, campains to encourage young people to have more outside doors activities.
With the impact that social media and technology have had in the life of young people in Barranquilla, the interest for activities like running, jogging, playing soccer, basketball, baseball or simply taking a walk, while eating an ice cream with friends, in a park have diminished and been almost completely forgoten.  The overuse of technology in this population has lead them to a sendentary life, full of leasure and a lack of interest for sports, which leads them to physichal and psychological issues.
Probably one of the ways to address this problem in young people in barranquilla is building parks where they can go and have fun with friends and their own families. i consider that parks along campains to encourage them to participate in championships and some other outside activities will call their attention and improve the live they are living.",3.09
S17 Placement,57662,"I'm living right now with the missionary who baptized my mom 20 years ago and his family. He has a wife called Wendy, and has 5 childrens. They are, starting for the older: 14, 12, 9, 6 and 4 years old. They have Jackson, he is the only boy, and i speak with him moren than anothers doughters. Chris, the man who baptized my mom, is a cumputer engineering, and is a good man.  your 4 doughters do dance class, like 4 times for week. 
Wendy, likes to cook and made deliciuous deserts. Every sundays, they like to eat special foods, that wendy cook to everbody.","I live in a city called Recife, and a believe that the negative point over there, is not having oportunities of education. 
To anyone attend in a good university, they have to do several tests. Its hard, because the public high school its realy bad. And the particular high school its really expensive, and isn't everbody that have money to pay for this. So, i believe that the tests to attend a university, would be easier, or, the public high school would be improved, to everyone have the oportunity to enter in a university, and  be prepare to have succes in their jobs. Building this way, a better city, until a better country.",3.09
W17 LATs,91882,"My roomnate's name is Mikel Wynn. He is a student of UVU. His dream is to become a pilot. He born in Japan. When he was child, he looked for plane which fly in the sky all day. So, he thought one day he would fly in the sky eventually. When I moved to his room, he looked luck funny guy. But after a while, he seemed gloomy. I thought that something was wrong with him. As I asked him, he didnt have any chance to fly for a while and that made him stressful. Yesterday, he was very excited , because he got his instructor and can fly soon. The funny guy came back again. unfortunatly, i am gonna move out soon.","My city has full of young generations. Almost 60% of citizens are young people. But the young people are not excited about their city. The reason is the air pollution. In the end of 1990, The prevalence of the air pollution did not exist. Because of the population of city was not reached today's record. Government of that time used to compell people to live in particular area. After 1990, Mongolian society and authority shifted to democracy. The weak government could not handle as much things and democracy was the thoroughly new idea to everyone. Only imagination that people have was the idea of 'doing whatever you want'. Also, economic of country was close to bankrupcy. To live and find better life, people were fleeing to capital city which was designed to specific number of people. There was deficiency of apartments. Thus, those people who came from rural areas could not find houses and the government had lack of abililty to solve it due to economic crises. So, people build thier own houses that heated by fire. From then on, it has become the root of air pollution. Now, 70% of apartments are heated by fire and our city is the one of the most polluted city in the world. People in my age are not pleased with that because it causes dozens of health problems. They are concerning about their children. In my opinion, the only solution could be our action, however, the government must handle it. If we use gas instead of coal air pollution will be dissapear soon. The morality is more important than any others. If people respect each other's right, not only air pollution could be solved, but every problem on earth would be gone. In conclusion, our generation people in my city are not excited, because of air pollution. We should not bank on the government, but we can make changes through good morality and usage of liqiud gas if we act together.",3.11
W17 LATs,61318,"My roommates are the best roommates ever. I live with four roommates. At the beginning of the semester was difficult because I didn't know them. First, Sadie is very sweet. She always take care of us. She is like the mom of us. Second, Savannah is Sadie's cousin. She is cool and she has good vibes. Third, Lauren has a hard personality but I love her too. She cook the best cookies ever. Finally, Abril is very very funny, I love her so much. She is like the sister that I never had. I'm grateful for my roommates because they accept me and they take care of me.","One improvement that would make my city a better place to live for the young people is more college graduates. College graduates have more opportunities that high school graduates. They can have a better life. In Mexico is difficult have college graduates. 
   College graduates have more opportunities. They can offer more to the society. They can help the society with their knowlege and their preparation. They can have better skills and show them. They can have good job opportunities and be successful with that. 
 
   College graduates can have a better life. They can have a beautiful house, a good car, good family, and have a lot of money. They do not have to worry about the money anymore. They can pay a good education to their sons. They can teach to their sons to be succesful and improve theirself every day. 
 
    It is difficul to Mexico have college graduates. The people ther do not take care of that. They think that is not importan because they do not know the importance that have. If Mexico have more college graduates the country can be successful. They can have a good job and a good live and help the society to be better.
   I think that is very important have a college education. I want to back to my country and inspire others. I am grateful with my parents to teach me the importance to have a college education and for cheer me to do that.",3.11
W17 LATs,06746,"In Ecuador, four months ago I was living with my family ( Dad, Mom, Sister and Brother)
I love they, because they complete my life. My dad has his own company to mail and He has been independent for many years. My mom always was in the house worried for her children and was teaching us good things for be good persons in the world and the church . And my siblings are very fun, my sister Gabriela was serving in her mission two years ago and I learned a lot to her, She always had something that said me. Actually my brother Spencer is 18 years old and He is preparing his papers for go to the mission I am sure that he is going to be a exellent misionary because He really loves the gospel, When I was in Ecuador I was his Youth Men President for two years and I could learned a lot to him and his dreams.","The education is important  for live in armony.
      The youth people is searching for oppotunities to improve themselves and be success persons in the world, but in many ocasions they do not have the oppotunities for progressing in them cities and they going to search them oportunities in other places that is not them native city because them own city can not offer the best way for them.
      Since that you are graduated in the High School in my country, the next step is going to the university, but  a lot people skip this step, the reason is clear, the gobernants in my country choose the majors of persons without resources because 'They can be more succes in the country, if they study that gobernants want'. Only a little percent of people with resources can choose them own majors because they are studing in priverty universities.
      For that my city can be a better place to live for the people of my age, the gobernants need to create a new opportunities for education, new programs of study and better places to be focus in our majors and not in others things that is not with our majors. In Guayaquil, my city is very usual find a lot young people that is not studing because do not have the resources for study that majors that they want and they are dessapointed with the gobern for not let the opportunitie that they choose them major in consequence we can see a lot people without morals and without employes, a lot families with house or diarily food in them home.
      I think that all persons in my country need to have the same opportunities for them education and should have equality. All students of my age want be success with own choose and not for method that persons in the power have created and they have destroyed the dreams of hundred of youngs.
       In conclusion, or that my city can be a better place to live for the people of my age we want to have better oportunities to study, better programs that let choose own majors, better places for study and be focus in our majors and equality with all persons witouth be necessary own status social.",3.11
